
chests/abandoned_mineshaft 废弃矿井宝箱
chests/ancient_city 远古城市宝箱
chests/bastion_bridge 堡垒遗迹桥宝箱
chests/bastion_hoglin_stable 堡垒遗迹疣猪兽棚宝箱
chests/bastion_other 堡垒遗迹宝箱
chests/bastion_treasure 堡垒遗迹藏宝室宝箱
chests/buriedtreasure 埋藏的宝藏宝箱
chests/desert_pyramid 沙漠神殿宝箱
chests/dispenser_trap 丛林神庙发射器陷阱
chests/end_city_treasure 末地城宝箱
chests/igloo_chest 雪屋宝箱
chests/jungle_temple 丛林神庙宝箱
chests/monster_room 地牢宝箱（游戏内未使用）
chests/nether_bridge 下界要塞宝箱
chests/pillager_outpost 掠夺者前哨站宝箱
chests/ruined_portal 废弃传送门宝箱
chests/shipwreck 沉船地图箱
chests/shipwrecksupply 沉船补给箱
chests/shipwrecktreasure 沉船宝箱
chests/simple_dungeon 地牢宝箱
chests/spawn_bonus_chest 奖励箱
chests/stronghold_corridor 要塞走廊祭坛宝箱
chests/stronghold_crossing 要塞储藏室宝箱
chests/stronghold_library 要塞图书馆宝箱
chests/underwater_ruin_big 大型海底废墟宝箱
chests/underwater_ruin_small 小型海底废墟宝箱
chests/village/village_armorer 村庄盔甲匠宝箱
chests/village/village_butcher 村庄屠夫宝箱
chests/village/village_cartographer 村庄制图师宝箱
chests/village/village_desert_house 沙漠村庄宝箱
chests/village/village_fletcher 村庄制箭师宝箱
chests/village/village_mason 村庄石匠宝箱
chests/village/village_plains_house 平原村庄宝箱
chests/village/village_savanna_house 热带草原村庄宝箱
chests/village/village_shepherd 村庄牧羊人宝箱
chests/village/village_snowy_house 雪域村庄宝箱
chests/village/village_taiga_house 针叶林村庄宝箱
chests/village/village_tannery 村庄皮匠宝箱
chests/village/village_temple 村庄教堂宝箱
chests/village/village_toolsmith 村庄工具匠宝箱
chests/village/village_weaponsmith 村庄武器匠宝箱
chests/village_blacksmith 村庄铁匠铺宝箱（游戏内未使用）
chests/village_two_room_house 村庄大型房屋宝箱（游戏内未使用）
chests/woodland_mansion 林地府邸宝箱
empty 不生成战利品
entities/armor_set_chain 锁链盔甲装备
entities/armor_set_diamond 钻石盔甲装备
entities/armor_set_gold 金质盔甲装备
entities/armor_set_iron 铁质盔甲装备
entities/armor_set_leather 皮革盔甲装备
entities/armor_stand 盔甲架的掉落物
entities/bat 蝙蝠的掉落物
entities/blaze 烈焰人的掉落物
entities/boat 船的掉落物
