
ambient.basalt_deltas.additions 玄武岩三角洲：环境附加音效
ambient.basalt_deltas.loop 玄武岩三角洲：环境循环音效
ambient.basalt_deltas.mood 玄武岩三角洲：怪异的噪声
ambient.candle 蜡烛：噼啪作响
ambient.cave 洞穴：怪异的噪声
ambient.crimson_forest.additions 绯红森林：环境附加音效
ambient.crimson_forest.loop 绯红森林：环境循环音效
ambient.crimson_forest.mood 绯红森林：怪异的噪声
ambient.nether_wastes.additions 下界荒地：环境附加音效
ambient.nether_wastes.loop 下界荒地：环境循环音效
ambient.nether_wastes.mood 下界荒地：怪异的噪声
ambient.soulsand_valley.additions 灵魂沙峡谷：环境附加音效
ambient.soulsand_valley.loop 灵魂沙峡谷：环境循环音效
ambient.soulsand_valley.mood 灵魂沙峡谷：怪异的噪声
ambient.warped_forest.additions 诡异森林：环境附加音效
ambient.warped_forest.loop 诡异森林：环境循环音效
ambient.warped_forest.mood 诡异森林：怪异的噪声
ambient.weather.lightning.impact 电闪
ambient.weather.rain 雨：落下
ambient.weather.thunder 雷鸣
armor.equip_chain 锁链盔甲：碰擦
armor.equip_diamond 钻石盔甲：碰擦
armor.equip_generic 盔甲：装备
armor.equip_gold 金盔甲：叮当
armor.equip_iron 铁盔甲：铿锵
armor.equip_leather 皮革盔甲：摩擦
armor.equip_netherite 下界合金盔甲：铿锵
beacon.activate 信标：激活
beacon.ambient 信标：嗡嗡作响
beacon.deactivate 信标：失效
beacon.power 信标：选择效果
block.bamboo.break 竹子：被破坏
block.bamboo.fall 竹子：某物摔落
block.bamboo.hit 竹子：损坏中
block.bamboo.place 竹子：被放置
block.bamboo.step 竹子：踩上
block.bamboo_sapling.break 竹笋：被破坏
block.bamboo_sapling.place 竹笋：被放置
block.barrel.close 木桶：关闭
block.barrel.open 木桶：打开
block.beehive.drip 蜂蜜：滴落
block.beehive.enter 蜜蜂：入巢
block.beehive.exit 蜜蜂：离巢
block.beehive.shear 剪刀：刮削
block.beehive.work 蜜蜂：工作
block.bell.hit 钟：响起
block.blastfurnace.fire_crackle 高炉：噼啪作响
block.bowhit 箭：击中
block.campfire.crackle 营火：噼啪作响
block.cartography_table.use 地图：绘制
block.chorusflower.death 紫颂花：凋零
block.chorusflower.grow 紫颂花：生长
block.click 
block.composter.empty 堆肥桶：清空
block.composter.fill 堆肥桶：填充
block.composter.fill_success 堆肥桶：堆肥
block.composter.ready 堆肥桶：堆肥
block.end_portal.spawn 末地传送门：开启
block.end_portal_frame.fill 末影之眼：嵌入
block.false_permissions 方块：无权限
block.furnace.lit 熔炉：噼啪作响
block.grindstone.use 砂轮：使用
block.itemframe.add_item 物品展示框：填充
block.itemframe.break 物品展示框：被破坏
block.itemframe.place 物品展示框：被放置
block.itemframe.remove_item 物品展示框：清空
block.itemframe.rotate_item 物品展示框：转动
block.lantern.break 灯笼：被破坏
block.lantern.fall 灯笼：某物摔落
